1,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36
tBodyAcc-mean()-X,0.00015702200713840043,-0.0013393596430915516,0.005411841089943504,-0.001412593738996855,-0.002040329975858221,0.0012154213553274395,0.006204995533544787,-0.004544559037238183,0.0038769941201053574,-0.0011303890211090723,-0.0030620108395099334,0.00025299054611041793,0.0031333440417162664,0.006398114702451753,-0.00134834904482005,-0.01347357966963865,-0.00868091330749282,0.007210910281843644,0.013094313400716309,0.013266423929752129,0.004632875703680015,0.008536708110710698,-0.01794431432451724,0.001671167626726421,-0.002926443675851104,0.00823039011429369,0.004109478752697152,-0.01102164831913807,0.009269406338502586,0.012305891339696194,0.0159005713905835,-0.0033369254514131917,-0.016596678518689623,0.005329591518408018,0.008984057416773663,-0.010677836148574508
tBodyAcc-mean()-Y,-0.00027560536012569847,0.00019478276903401773,0.0006091480573834926,0.00013385513323024172,-0.001568072662821928,-0.0013051709704802517,-0.0004208761922763878,0.0013342200928518567,-0.002714785636723849,-0.0002769259885523455,0.0007806047166329425,-0.0009099735123914781,0.0030372492552056276,4.16208649343804e-05,0.0001225856904428672,0.00037031790066564856,0.0007550168981811552,0.005158263860009129,-0.002119018052460609,-0.005278149831401372,-0.000988952033123324,-0.00191150730693332,-3.072177981661259e-05,-0.0010890633024267253,-0.001250844286036533,0.0002840534327310829,0.0002187352377867792,-0.00024387047747381193,0.0018547633922281928,0.0004866602518001106,-0.0044782059098514935,-0.004591464266812117,0.0025150752297081304,-0.00015745714079965693,0.0034052335930819626,0.0004836726843724445
tBodyAcc-mean()-Z,-0.0003394155028968458,0.0012325861818471347,-0.0010258950290418355,-0.0008625571222183728,-0.002899418151446778,0.0001335366898277803,0.0005020600211309024,-0.0008753266174063594,-0.007468485551537023,0.0011076178958647305,-0.005054091554215904,-0.0016150978140993153,0.0020208857199173896,0.005824933666934375,0.0004479571459426924,0.005759623739775835,-0.0008986640590904938,-0.002985647747327258,0.001314083859578307,-0.006466337915182782,-0.0035053806531146134,-0.0025036383663820444,0.003235601026492451,-0.0014360089214160085,0.0012734717370187715,-0.0014687838110262641,-0.0010792081899604414,0.0030587313280106745,-0.0013438485019841206,0.00016730486545008221,6.21391438472065e-05,0.003223504062248015,0.0009073107038397141,0.00447500716544606,-0.0008668916476783267,-0.0033388492755548
tBodyAcc-std()-X,0.07138276000693532,-0.01931504388709604,-0.004100255958492253,0.016282163027500695,-0.005357954817183156,-0.085952005085239,0.013565443027643835,-0.019260999534789706,0.007355349541015681,0.060340140817314654,-0.033557300813176434,-0.031051170535955835,-0.0045126054760369705,0.017191240260078865,-0.016489192980403678,-0.020604193667845373,-0.004265006040203507,-0.0041058867536250265,0.014232716130152298,-0.01273765149754339,-0.0001270224432334976,0.0014733075671328776,0.004955533067973746,-0.02505170406931484,-0.015784535364147576,-0.011309209120909955,-0.015824226407953505,-0.006046606898554313,-0.004132106227608026,0.010185599497429134,0.007650964412241581,-0.023388446957947957,-0.014902368091320095,0.027868151357313346,-0.012533819325820523,-0.02662382815099375
tBodyAcc-std()-Y,0.08543056194153319,-0.005738029450658733,-0.006241157652922596,0.06423784651587515,0.007992753298419452,0.07570377553963828,-0.022374240255161312,0.024068362096980777,0.01013138148766278,-0.017440693927246103,0.023697095489171982,-0.06622601922671773,0.06404786918829937,-0.057951105476017575,0.015754887867764883,-0.025420735363653534,0.019010531926008576,-0.018738382962017793,0.016985107285739348,0.01780440385575183,-0.01604382151532385,-0.0024772628903752146,0.0030932901296296766,-0.03570357675064893,-0.009555106186444218,-0.022850595338371815,0.003915692952163991,0.007273937758492671,0.02958191383916409,-0.010740567146141983,-0.028467749870791873,0.01396441486258116,0.016560433900487354,0.011273607537344868,-0.05202611908854509,0.0050576119049499735
tBodyAcc-std()-Z,0.06048397157780692,0.014427122346407768,-0.029784280374160532,-0.03355226652085638,0.06912631058610218,-0.055843387613296894,-0.0012100714679680843,-0.03846591918922233,-0.0028190174247989565,-0.038381355438875456,0.03437478668480933,-0.0038914451377512573,0.00796216103701225,0.04344683932166364,0.031123465809680277,0.045790343242991145,0.01937508795527628,0.003077519909641779,-0.010266200840014573,0.03866485437501592,-0.0005588527013721738,-0.00961025907031656,-0.037941946965510516,-1.3984475454258648e-05,0.042188071961995345,-0.00047851983903191334,0.016305303944077722,0.008013383475053282,-0.01652355834371419,-0.0546688513185306,0.008580346029685047,0.045638450799669196,0.08813012262280469,0.01681329569136272,-0.0034884011409095396,-0.00855737198099591
tBodyAcc-mad()-X,0.06652203758251118,-0.01933023949474197,-0.002607551547800555,0.01488013034649371,-0.005471713104119861,-0.07925441007480317,0.012209458624687176,-0.01764434965686822,0.00600366656939655,0.054917325089269706,-0.02911470187804681,-0.03033581281688312,0.0004964593750528438,0.021150147066899307,-0.016940293335630806,-0.023987282921048736,-0.005986707057909491,-0.0026510309924402545,0.012119596436077781,-0.012211363708950998,-0.006121728255571885,0.007850387726440878,0.003761380292185284,-0.022329679629853667,-0.015408225593358667,-0.006396948058204998,-0.011468660530383054,-0.005233642765710224,0.0015268887912806128,0.007388639844962364,0.010582785850602261,-0.02395271852290741,-0.019655712359105324,0.021811480714150417,-0.0057675866137085734,-0.02621627426680776
tBodyAcc-mad()-Y,0.08254325473742012,-0.002408056071501505,-0.010081922183097256,0.06517294866261647,0.01364913815590554,0.07399422762809248,-0.029497411622092077,0.01680230005581812,0.011855384065138407,-0.019523587933483053,0.03176046860990882,-0.06942019287296299,0.05820683086324426,-0.058218054112680925,0.0030003029530521292,-0.02055500857197343,0.016018219707746598,-0.01477440694746508,0.019397684199672315,0.02281546102482112,-0.032780950158057424,0.0006609916589439675,0.001944140486833706,-0.030738535127521435,-0.013382418861151546,-0.02325989783719882,0.0033938766408687523,0.008563911720776068,0.04150523383142503,-0.006119075214296889,-0.021898317028978685,0.00988018516207947,0.01652692490681677,0.018524543943824915,-0.054642631669019295,0.006912256468222074
tBodyAcc-mad()-Z,0.0594560025058943,0.01659185517618821,-0.030825441730548284,-0.03107573603021543,0.060382020671320376,-0.05157292886920738,-0.004737173374575599,-0.041729526043428194,-0.0003969171313030487,-0.03657609511710021,0.042807856896127004,-0.0038161777504432397,0.013498710087324393,0.04803926082908197,0.025471823236417435,0.04629559354213099,0.02333658538373478,0.0018790883395342032,-0.00758206590428291,0.040004887892357385,-0.006222180237052105,-0.008997964533049263,-0.04303361428298802,0.005709611840962239,0.03656300492190061,0.009052011076828046,0.01909093489953637,0.008747266679825567,-0.015966352162789986,-0.058612324714757774,0.010500901050687652,0.05008127065865085,0.09234182300317939,0.014306982655853027,-0.004600257219619211,-0.018191764075064693
tBodyAcc-max()-X,0.08944175319478238,-0.02171843086892715,-0.0009616840725082033,0.015873561741770164,-0.004829928894074811,-0.11012675043992885,0.03030282830276388,-0.02793781558096345,0.012971268135278725,0.08092229335885756,-0.05135152224590937,-0.031839978950697324,-0.030310526423129664,-0.007635185734116413,-0.00807442551073732,-0.013830310138140373,-0.002071260922707372,-0.010044248017790454,0.014427586918699557,-0.007145085199013579,0.026944776989593796,-0.03170645963240359,0.005395271959451541,-0.03012675692210002,-0.025678396221574647,-0.04906887004642359,-0.03414296643144975,-0.03274814580405604,-0.025598012984265606,0.02029280448938961,-0.004656690695034258,-0.03287499012994518,0.008010277553612628,0.05185896467361691,-0.021896270109219424,-0.01426832851054994
